session,true_distance_m,sample_n,t_ms,d_mm,q_dbm
1,1.0,1,41663,1257,-92.0
1,1.0,2,41734,1210,-92.0
1,1.0,3,41783,1201,-92.0
1,1.0,4,41831,1215,-92.0
1,1.0,5,41880,1253,-92.0
1,1.0,6,41929,1154,-92.0
1,1.0,7,41978,1225,-92.0
1,1.0,8,42026,1210,-92.0
1,1.0,9,42075,1225,-93.0
1,1.0,10,42124,1154,-92.0
1,1.0,11,42172,1220,-92.0
1,1.0,12,42241,1239,-92.0
1,1.0,13,42289,1196,-92.0
1,1.0,14,42338,1262,-92.0
1,1.0,15,42387,1196,-92.0
1,1.0,16,42435,1225,-92.0
1,1.0,17,42484,1215,-92.0
1,1.0,18,42533,1253,-92.0
1,1.0,19,42640,1243,-93.0
1,1.0,20,42710,1201,-92.0
1,1.0,21,42793,1164,-92.0
1,1.0,22,42897,1192,-92.0
1,1.0,23,43038,1201,-92.0
1,1.0,24,43179,1196,-92.0
1,1.0,25,43288,1229,-92.0
1,1.0,26,43395,1215,-93.0
1,1.0,27,43501,1225,-92.0
1,1.0,28,43571,1187,-92.0
1,1.0,29,43737,1196,-93.0
1,1.0,30,43844,1234,-92.0
1,1.0,31,43941,1267,-92.0
1,1.0,32,43990,1192,-92.0
1,1.0,33,44039,1154,-93.0
1,1.0,34,44087,1239,-92.0
1,1.0,35,44170,1164,-92.0
1,1.0,36,44240,1206,-92.0
1,1.0,37,44323,1210,-92.0
1,1.0,38,44406,1239,-92.0
1,1.0,39,44489,1248,-93.0
1,1.0,40,44537,1243,-93.0
1,1.0,41,44586,1201,-92.0
1,1.0,42,44635,1234,-92.0
1,1.0,43,44683,1210,-92.0
1,1.0,44,44752,1168,-92.0
1,1.0,45,44822,1243,-92.0
1,1.0,46,44905,1117,-92.0
1,1.0,47,45011,1187,-92.0
1,1.0,48,45117,1192,-92.0
1,1.0,49,45214,1173,-92.0
1,1.0,50,45266,1206,-92.0
1,1.0,51,45314,1196,-92.0
1,1.0,52,45363,1229,-92.0
1,1.0,53,45433,1220,-92.0
1,1.0,54,45503,1276,-92.0
1,1.0,55,45574,1220,-93.0
1,1.0,56,45644,1210,-92.0
1,1.0,57,45727,1220,-92.0
1,1.0,58,45810,1182,-92.0
1,1.0,59,45893,1178,-92.0
1,1.0,60,45941,1206,-92.0
1,1.0,61,45990,1220,-92.0
1,1.0,62,46073,1210,-92.0
1,1.0,63,46156,1262,-92.0
1,1.0,64,46226,1145,-92.0
1,1.0,65,46434,1220,-93.0
1,1.0,66,46538,1192,-92.0
1,1.0,67,46645,1187,-92.0
1,1.0,68,46716,1182,-93.0
1,1.0,69,46845,1201,-92.0
1,1.0,70,46928,1201,-92.0
1,1.0,71,46998,1243,-92.0
1,1.0,72,47102,1196,-92.0
1,1.0,73,47206,1206,-92.0
1,1.0,74,47481,1243,-92.0
1,1.0,75,47564,1243,-92.0
1,1.0,76,47612,1196,-92.0
1,1.0,77,47661,1225,-92.0
1,1.0,78,47710,1178,-92.0
1,1.0,79,47771,1126,-93.0
1,1.0,80,47819,1220,-92.0
1,1.0,81,47903,1187,-93.0
1,1.0,82,47973,1234,-92.0
1,1.0,83,48056,1248,-93.0
1,1.0,84,48196,1243,-92.0
1,1.0,85,48319,1215,-93.0
1,1.0,86,48436,1173,-92.0
1,1.0,87,48612,1164,-93.0
1,1.0,88,48682,1234,-92.0
1,1.0,89,48752,1210,-92.0
1,1.0,90,48835,1215,-92.0
1,1.0,91,48918,1187,-92.0
1,1.0,92,49001,1234,-92.0
1,1.0,93,49049,1243,-92.0
1,1.0,94,49098,1225,-92.0
1,1.0,95,49147,1234,-92.0
1,1.0,96,49195,1210,-93.0
1,1.0,97,49266,1271,-92.0
1,1.0,98,49349,1220,-92.0
1,1.0,99,49432,1135,-92.0
1,1.0,100,49515,1225,-92.0
1,1.0,101,49563,1257,-92.0
1,1.0,102,49612,1182,-92.0
1,1.0,103,49661,1178,-92.0
1,1.0,104,49781,1046,-92.0
1,1.0,105,49864,1178,-92.0
1,1.0,106,49947,1220,-92.0
1,1.0,107,50053,1234,-92.0
1,1.0,108,50101,1215,-92.0
1,1.0,109,50150,1206,-92.0
1,1.0,110,50257,1220,-92.0
1,1.0,111,50340,1248,-92.0
1,1.0,112,50423,1206,-92.0
1,1.0,113,50569,1234,-92.0
1,1.0,114,50618,1196,-93.0
1,1.0,115,50666,1210,-92.0
1,1.0,116,50715,1206,-92.0
1,1.0,117,50783,1046,-92.0
1,1.0,118,50831,1248,-92.0
1,1.0,119,50880,1210,-92.0
1,1.0,120,50929,1215,-92.0
1,1.0,121,50977,1201,-92.0
1,1.0,122,51026,1201,-92.0
1,1.0,123,51075,1178,-92.0
1,1.0,124,51123,1253,-93.0
1,1.0,125,51172,1196,-92.0
1,1.0,126,51221,1140,-93.0
1,1.0,127,51284,1154,-93.0
1,1.0,128,51332,1168,-92.0
1,1.0,129,51513,1178,-92.0
1,1.0,130,51596,1201,-92.0
1,1.0,131,51666,1210,-92.0
1,1.0,132,51736,1192,-92.0
1,1.0,133,51855,1196,-92.0
1,1.0,134,51961,1234,-92.0
1,1.0,135,52044,1215,-92.0
1,1.0,136,52092,1248,-92.0
1,1.0,137,52141,1192,-92.0
1,1.0,138,52190,1271,-92.0
1,1.0,139,52239,1210,-92.0
1,1.0,140,52287,1229,-92.0
1,1.0,141,52370,1159,-92.0
1,1.0,142,52440,1196,-92.0
1,1.0,143,52523,1196,-92.0
1,1.0,144,52664,1220,-92.0
1,1.0,145,52781,1210,-92.0
1,1.0,146,52864,1225,-93.0
1,1.0,147,52912,1201,-92.0
1,1.0,148,52961,1234,-92.0
1,1.0,149,53010,1225,-92.0
1,1.0,150,53059,1229,-92.0
1,1.0,151,53142,1196,-92.0
1,1.0,152,53212,1187,-92.0
1,1.0,153,53315,1239,-92.0
1,1.0,154,53385,1196,-92.0
1,1.0,155,53468,1229,-92.0
1,1.0,156,53538,1262,-92.0
1,1.0,157,53645,1206,-92.0
1,1.0,158,53728,1225,-92.0
1,1.0,159,53822,1112,-92.0
1,1.0,160,53892,1201,-92.0
1,1.0,161,53962,1210,-92.0
1,1.0,162,54032,1210,-92.0
1,1.0,163,54103,1253,-92.0
