session,true_distance_m,sample_n,t_ms,d_mm,q_dbm
1,1.0,1,95839,1262,-92.0
1,1.0,2,95888,1196,-91.0
1,1.0,3,95937,1154,-92.0
1,1.0,4,96034,1225,-92.0
1,1.0,5,96083,1196,-92.0
1,1.0,6,96132,1187,-91.0
1,1.0,7,96181,1248,-92.0
1,1.0,8,96229,1173,-92.0
1,1.0,9,96326,1192,-91.0
1,1.0,10,96409,1257,-91.0
1,1.0,11,96492,1201,-91.0
1,1.0,12,96541,1239,-92.0
1,1.0,13,96589,1164,-91.0
1,1.0,14,96638,1182,-91.0
1,1.0,15,96687,1215,-92.0
1,1.0,16,96735,1253,-91.0
1,1.0,17,96877,1210,-91.0
1,1.0,18,96926,1225,-92.0
1,1.0,19,96975,1168,-92.0
1,1.0,20,97072,1182,-92.0
1,1.0,21,97121,1220,-92.0
1,1.0,22,97170,1215,-91.0
1,1.0,23,97218,1182,-92.0
1,1.0,24,97426,1168,-92.0
1,1.0,25,97475,1192,-92.0
1,1.0,26,97558,1215,-91.0
1,1.0,27,97641,1215,-91.0
1,1.0,28,97724,1196,-92.0
1,1.0,29,97795,1159,-92.0
1,1.0,30,97844,1173,-92.0
1,1.0,31,97892,1196,-91.0
1,1.0,32,97941,1187,-92.0
1,1.0,33,97990,1225,-91.0
1,1.0,34,98038,1215,-92.0
1,1.0,35,98087,1206,-91.0
1,1.0,36,98136,1225,-92.0
1,1.0,37,98185,1239,-92.0
1,1.0,38,98233,1220,-91.0
1,1.0,39,98345,1187,-92.0
1,1.0,40,98393,1220,-91.0
1,1.0,41,98442,1196,-92.0
1,1.0,42,98491,1225,-91.0
1,1.0,43,98539,1187,-91.0
1,1.0,44,98588,1206,-92.0
1,1.0,45,98637,1243,-92.0
1,1.0,46,98720,1257,-92.0
1,1.0,47,98822,1220,-92.0
1,1.0,48,98905,1210,-91.0
1,1.0,49,98953,1192,-91.0
1,1.0,50,99002,1215,-92.0
1,1.0,51,99051,1182,-91.0
1,1.0,52,99100,1215,-91.0
1,1.0,53,99148,1182,-92.0
1,1.0,54,99197,1192,-91.0
1,1.0,55,99246,1178,-92.0
1,1.0,56,99302,1229,-91.0
1,1.0,57,99350,1225,-91.0
1,1.0,58,99399,1234,-91.0
1,1.0,59,99448,1154,-91.0
1,1.0,60,99497,1206,-92.0
1,1.0,61,99545,1225,-91.0
1,1.0,62,99594,1192,-91.0
1,1.0,63,99643,1229,-91.0
1,1.0,64,99740,1210,-92.0
1,1.0,65,99887,1206,-92.0
1,1.0,66,99971,1257,-92.0
1,1.0,67,100137,1187,-92.0
1,1.0,68,100185,1178,-92.0
1,1.0,69,100234,1206,-91.0
1,1.0,70,100304,1145,-91.0
1,1.0,71,100352,1178,-92.0
1,1.0,72,100401,1154,-92.0
1,1.0,73,100450,1159,-92.0
1,1.0,74,100499,1159,-92.0
1,1.0,75,100547,1215,-92.0
1,1.0,76,100694,1229,-92.0
1,1.0,77,100890,1159,-92.0
1,1.0,78,100939,1192,-91.0
1,1.0,79,100988,1253,-91.0
1,1.0,80,101037,1192,-91.0
1,1.0,81,101169,1196,-92.0
1,1.0,82,101252,1206,-91.0
1,1.0,83,101340,1192,-92.0
1,1.0,84,101388,1220,-91.0
1,1.0,85,101437,1220,-91.0
1,1.0,86,101486,1173,-92.0
1,1.0,87,101535,1234,-91.0
1,1.0,88,101583,1229,-92.0
1,1.0,89,101632,1192,-92.0
1,1.0,90,101681,1215,-91.0
1,1.0,91,101729,1234,-92.0
1,1.0,92,101798,1187,-92.0
1,1.0,93,101846,1192,-91.0
1,1.0,94,101895,1196,-92.0
1,1.0,95,101944,1201,-91.0
1,1.0,96,101993,1206,-92.0
1,1.0,97,102041,1192,-91.0
1,1.0,98,102090,1210,-92.0
1,1.0,99,102139,1201,-92.0
1,1.0,100,102187,1220,-91.0
1,1.0,101,102236,1210,-92.0
1,1.0,102,102304,1271,-92.0
1,1.0,103,102387,1159,-92.0
1,1.0,104,102470,1182,-92.0
1,1.0,105,102601,1215,-92.0
1,1.0,106,102650,1178,-91.0
1,1.0,107,102760,1178,-92.0
1,1.0,108,102819,1215,-95.0
1,1.0,109,102868,1210,-91.0
1,1.0,110,102916,1253,-92.0
1,1.0,111,102965,1225,-92.0
1,1.0,112,103014,1229,-91.0
1,1.0,113,103062,1210,-92.0
1,1.0,114,103111,1215,-91.0
1,1.0,115,103160,1215,-91.0
1,1.0,116,103209,1173,-91.0
1,1.0,117,103257,1234,-92.0
1,1.0,118,103320,1182,-92.0
1,1.0,119,103368,1229,-92.0
1,1.0,120,103417,1243,-92.0
1,1.0,121,103466,1187,-92.0
1,1.0,122,103549,1267,-92.0
1,1.0,123,103632,1210,-92.0
1,1.0,124,103715,1192,-91.0
1,1.0,125,103763,1215,-92.0
1,1.0,126,103905,1215,-92.0
1,1.0,127,103954,1182,-91.0
1,1.0,128,104003,1215,-91.0
1,1.0,129,104052,1187,-92.0
1,1.0,130,104100,1220,-91.0
1,1.0,131,104149,1234,-91.0
1,1.0,132,104198,1173,-92.0
1,1.0,133,104246,1196,-91.0
1,1.0,134,104356,1187,-92.0
1,1.0,135,104405,1196,-92.0
1,1.0,136,104454,1192,-92.0
1,1.0,137,104503,1192,-92.0
1,1.0,138,104551,1201,-91.0
1,1.0,139,104600,1182,-92.0
1,1.0,140,104649,1196,-91.0
1,1.0,141,104697,1178,-91.0
1,1.0,142,104781,1234,-91.0
1,1.0,143,104864,1201,-92.0
1,1.0,144,104947,1220,-91.0
1,1.0,145,104995,1234,-91.0
1,1.0,146,105044,1220,-92.0
1,1.0,147,105093,1182,-92.0
1,1.0,148,105142,1187,-92.0
1,1.0,149,105190,1225,-92.0
1,1.0,150,105239,1215,-92.0
1,1.0,151,105310,1271,-92.0
1,1.0,152,105359,1234,-91.0
1,1.0,153,105408,1206,-91.0
1,1.0,154,105456,1220,-91.0
1,1.0,155,105505,1243,-92.0
1,1.0,156,105603,1187,-92.0
1,1.0,157,105651,1201,-91.0
1,1.0,158,105700,1257,-91.0
1,1.0,159,105749,1206,-92.0
1,1.0,160,105817,1196,-92.0
1,1.0,161,105866,1215,-91.0
1,1.0,162,105949,1239,-92.0
1,1.0,163,106032,1253,-92.0
1,1.0,164,106115,1215,-92.0
1,1.0,165,106163,1271,-92.0
1,1.0,166,106212,1196,-91.0
1,1.0,167,106261,1243,-92.0
1,1.0,168,106331,840,-91.0
1,1.0,169,106379,1210,-92.0
1,1.0,170,106428,1192,-91.0
1,1.0,171,106477,1201,-91.0
1,1.0,172,106526,1196,-92.0
1,1.0,173,106574,1164,-92.0
1,1.0,174,106623,1206,-91.0
1,1.0,175,106672,1182,-92.0
1,1.0,176,106720,1201,-91.0
1,1.0,177,106769,1206,-91.0
1,1.0,178,106881,1215,-91.0
1,1.0,179,106929,1210,-91.0
1,1.0,180,106978,1229,-91.0
1,1.0,181,107027,1206,-92.0
1,1.0,182,107075,1215,-92.0
1,1.0,183,107159,1248,-92.0
1,1.0,184,107242,1196,-92.0
1,1.0,185,107325,1196,-91.0
1,1.0,186,107373,1173,-92.0
1,1.0,187,107422,1187,-91.0
1,1.0,188,107471,1187,-92.0
1,1.0,189,107520,1267,-91.0
1,1.0,190,107568,1201,-92.0
1,1.0,191,107666,1215,-91.0
1,1.0,192,107715,1206,-92.0
1,1.0,193,107763,1206,-92.0
1,1.0,194,107836,1173,-91.0
1,1.0,195,107884,1206,-91.0
1,1.0,196,107933,1196,-91.0
1,1.0,197,107982,1206,-92.0
1,1.0,198,108031,1196,-92.0
1,1.0,199,108079,1178,-92.0
1,1.0,200,108128,1168,-91.0
1,1.0,201,108177,1225,-92.0
1,1.0,202,108225,1215,-91.0
1,1.0,203,108309,1253,-91.0
1,1.0,204,108392,1215,-92.0
1,1.0,205,108475,1173,-91.0
1,1.0,206,108523,1215,-92.0
1,1.0,207,108572,1248,-91.0
1,1.0,208,108621,1206,-91.0
1,1.0,209,108670,1229,-91.0
1,1.0,210,108767,1187,-92.0
1,1.0,211,108838,1084,-91.0
1,1.0,212,108935,1215,-92.0
1,1.0,213,108984,1210,-92.0
1,1.0,214,109033,1192,-92.0
1,1.0,215,109081,1229,-92.0
1,1.0,216,109130,1215,-91.0
1,1.0,217,109179,1178,-92.0
1,1.0,218,109227,1187,-92.0
1,1.0,219,109276,1192,-92.0
1,1.0,220,109339,1178,-91.0
1,1.0,221,109387,1229,-92.0
