session,true_distance_m,sample_n,t_ms,d_mm,q_dbm
1,1.0,1,541031,751,-88.0
1,1.0,2,541208,760,-88.0
1,1.0,3,541291,788,-88.0
1,1.0,4,541374,765,-88.0
1,1.0,5,541422,403,-88.0
1,1.0,6,541506,779,-87.0
1,1.0,7,541612,389,-89.0
1,1.0,8,541695,784,-88.0
1,1.0,9,541743,586,-88.0
1,1.0,10,541850,784,-88.0
1,1.0,11,541950,699,-88.0
1,1.0,12,542081,760,-88.0
1,1.0,13,542130,793,-87.0
1,1.0,14,542179,760,-87.0
1,1.0,15,542227,751,-88.0
1,1.0,16,542276,779,-88.0
1,1.0,17,542325,746,-88.0
1,1.0,18,542373,136,-88.0
1,1.0,19,542422,774,-89.0
1,1.0,20,542520,755,-89.0
1,1.0,21,542603,779,-88.0
1,1.0,22,542686,779,-88.0
1,1.0,23,542769,760,-88.0
1,1.0,24,542817,774,-88.0
1,1.0,25,542866,774,-88.0
1,1.0,26,542968,769,-88.0
1,1.0,27,543016,765,-87.0
1,1.0,28,543065,751,-88.0
1,1.0,29,543113,784,-88.0
1,1.0,30,543162,774,-88.0
1,1.0,31,543211,765,-87.0
1,1.0,32,543260,784,-87.0
1,1.0,33,543308,755,-89.0
1,1.0,34,543357,769,-88.0
1,1.0,35,543420,727,-87.0
1,1.0,36,543469,751,-88.0
1,1.0,37,543566,375,-87.0
1,1.0,38,543663,389,-88.0
1,1.0,39,543761,769,-88.0
1,1.0,40,543844,760,-89.0
1,1.0,41,543946,774,-88.0
1,1.0,42,544029,798,-87.0
1,1.0,43,544135,769,-88.0
1,1.0,44,544218,624,-88.0
1,1.0,45,544324,769,-88.0
1,1.0,46,544372,385,-88.0
1,1.0,47,544426,755,-88.0
1,1.0,48,544475,751,-88.0
1,1.0,49,544523,746,-88.0
1,1.0,50,544572,760,-88.0
1,1.0,51,544621,802,-87.0
1,1.0,52,544669,788,-88.0
1,1.0,53,544718,765,-87.0
1,1.0,54,544767,755,-88.0
1,1.0,55,544815,361,-88.0
1,1.0,56,544864,755,-88.0
1,1.0,57,544927,727,-88.0
1,1.0,58,544976,769,-88.0
1,1.0,59,545024,760,-88.0
1,1.0,60,545073,741,-88.0
1,1.0,61,545122,328,-87.0
1,1.0,62,545170,779,-88.0
1,1.0,63,545219,554,-87.0
1,1.0,64,545268,779,-88.0
1,1.0,65,545316,765,-88.0
1,1.0,66,545365,774,-88.0
1,1.0,67,545428,727,-88.0
1,1.0,68,545477,798,-87.0
1,1.0,69,545574,572,-87.0
1,1.0,70,545623,230,-88.0
1,1.0,71,545671,784,-88.0
1,1.0,72,545720,371,-88.0
1,1.0,73,545769,774,-89.0
1,1.0,74,545817,784,-88.0
1,1.0,75,545866,769,-88.0
1,1.0,76,545929,624,-87.0
1,1.0,77,545978,765,-88.0
1,1.0,78,546026,784,-88.0
1,1.0,79,546075,784,-87.0
1,1.0,80,546124,769,-88.0
1,1.0,81,546172,596,-87.0
1,1.0,82,546242,769,-88.0
1,1.0,83,546325,760,-87.0
1,1.0,84,546395,765,-88.0
1,1.0,85,546512,427,-88.0
1,1.0,86,546603,760,-88.0
1,1.0,87,546768,469,-87.0
1,1.0,88,546908,769,-88.0
1,1.0,89,547025,784,-87.0
1,1.0,90,547073,760,-88.0
1,1.0,91,547122,793,-88.0
1,1.0,92,547171,774,-89.0
1,1.0,93,547219,793,-88.0
1,1.0,94,547268,798,-88.0
1,1.0,95,547409,558,-88.0
1,1.0,96,547550,849,-89.0
1,1.0,97,547667,568,-88.0
1,1.0,98,547715,760,-88.0
1,1.0,99,547764,779,-89.0
1,1.0,100,547813,769,-88.0
1,1.0,101,547861,774,-88.0
1,1.0,102,547933,718,-87.0
1,1.0,103,548030,802,-88.0
1,1.0,104,548079,784,-87.0
1,1.0,105,548128,615,-88.0
1,1.0,106,548176,765,-88.0
1,1.0,107,548280,779,-88.0
1,1.0,108,548421,788,-88.0
1,1.0,109,548525,141,-88.0
1,1.0,110,548629,765,-88.0
1,1.0,111,548712,760,-88.0
1,1.0,112,548782,779,-88.0
1,1.0,113,548889,798,-87.0
1,1.0,114,548972,769,-89.0
1,1.0,115,549281,793,-88.0
1,1.0,116,549364,760,-88.0
1,1.0,117,549436,427,-87.0
1,1.0,118,549485,765,-88.0
1,1.0,119,549555,784,-88.0
1,1.0,120,549625,765,-88.0
1,1.0,121,549708,769,-88.0
1,1.0,122,549778,774,-89.0
1,1.0,123,549861,413,-87.0
1,1.0,124,549987,774,-88.0
1,1.0,125,550057,610,-88.0
1,1.0,126,550140,784,-88.0
1,1.0,127,550383,572,-87.0
1,1.0,128,550499,296,-89.0
1,1.0,129,550569,769,-89.0
1,1.0,130,550639,774,-89.0
1,1.0,131,550732,375,-87.0
1,1.0,132,550816,389,-87.0
1,1.0,133,550899,450,-87.0
1,1.0,134,551006,774,-88.0
1,1.0,135,551054,793,-88.0
1,1.0,136,551103,558,-88.0
1,1.0,137,551152,774,-87.0
1,1.0,138,551200,793,-88.0
1,1.0,139,551332,769,-87.0
1,1.0,140,551438,769,-88.0
1,1.0,141,551544,760,-88.0
1,1.0,142,551592,769,-89.0
1,1.0,143,551641,342,-88.0
1,1.0,144,551690,774,-87.0
1,1.0,145,551738,769,-88.0
1,1.0,146,551787,798,-87.0
1,1.0,147,551836,769,-88.0
1,1.0,148,551919,774,-88.0
1,1.0,149,552002,769,-87.0
1,1.0,150,552085,769,-88.0
1,1.0,151,552133,807,-88.0
